"time","headlight"
0,0.0000000000000000E+000
0.02,0.0000000000000000E+000
0.03,0.0000000000000000E+000
0.05,0.0000000000000000E+000
0.06,1.0000000000000000E+000
0.07,1.0000000000000000E+000
0.09,1.0000000000000000E+000
0.1,1.0000000000000000E+000
0.12,1.0000000000000000E+000
0.13,1.0000000000000000E+000
0.15,1.0000000000000000E+000
0.16,1.0000000000000000E+000
0.17,1.0000000000000000E+000
0.19,1.0000000000000000E+000
0.2,1.0000000000000000E+000
0.21,1.0000000000000000E+000
0.23,1.0000000000000000E+000
0.24,1.0000000000000000E+000
0.26,1.0000000000000000E+000
0.27,1.0000000000000000E+000
0.28,1.0000000000000000E+000
0.3,1.0000000000000000E+000
0.31,1.0000000000000000E+000
0.33,1.0000000000000000E+000
0.34,1.0000000000000000E+000
0.35,1.0000000000000000E+000
0.37,1.0000000000000000E+000
0.38,1.0000000000000000E+000
0.4,1.0000000000000000E+000
0.41,1.0000000000000000E+000
0.42,1.0000000000000000E+000
0.44,1.0000000000000000E+000
0.45,1.0000000000000000E+000
0.47,1.0000000000000000E+000
0.48,1.0000000000000000E+000
0.49,1.0000000000000000E+000
0.51,1.0000000000000000E+000
0.52,1.0000000000000000E+000
0.54,1.0000000000000000E+000
0.55,1.0000000000000000E+000
0.56,1.0000000000000000E+000
0.58,1.0000000000000000E+000
0.59,1.0000000000000000E+000
0.61,1.0000000000000000E+000
0.62,1.0000000000000000E+000
0.63,1.0000000000000000E+000
0.65,1.0000000000000000E+000
0.66,1.0000000000000000E+000
0.68,1.0000000000000000E+000
0.69,1.0000000000000000E+000
0.7,1.0000000000000000E+000
0.72,1.0000000000000000E+000
0.73,1.0000000000000000E+000
0.75,1.0000000000000000E+000
0.76,1.0000000000000000E+000
0.77,1.0000000000000000E+000
0.79,1.0000000000000000E+000
0.8,1.0000000000000000E+000
0.82,1.0000000000000000E+000
0.83,1.0000000000000000E+000
0.84,1.0000000000000000E+000
0.86,1.0000000000000000E+000
0.87,1.0000000000000000E+000
0.89,1.0000000000000000E+000
0.9,1.0000000000000000E+000
0.91,1.0000000000000000E+000
0.93,1.0000000000000000E+000
0.94,1.0000000000000000E+000
0.96,1.0000000000000000E+000
0.97,1.0000000000000000E+000
0.98,1.0000000000000000E+000
1,1.0000000000000000E+000
1.01,1.0000000000000000E+000
1.03,1.0000000000000000E+000
1.04,1.0000000000000000E+000
1.05,1.0000000000000000E+000
1.07,1.0000000000000000E+000
1.08,1.0000000000000000E+000
1.1,1.0000000000000000E+000
1.11,1.0000000000000000E+000
1.12,1.0000000000000000E+000
1.14,1.0000000000000000E+000
1.15,1.0000000000000000E+000
1.17,1.0000000000000000E+000
1.18,1.0000000000000000E+000
1.19,1.0000000000000000E+000
1.21,1.0000000000000000E+000
1.22,1.0000000000000000E+000
1.24,1.0000000000000000E+000
1.25,1.0000000000000000E+000
1.26,1.0000000000000000E+000
1.28,1.0000000000000000E+000
1.29,1.0000000000000000E+000
1.31,1.0000000000000000E+000
1.32,1.0000000000000000E+000
1.33,1.0000000000000000E+000
1.35,1.0000000000000000E+000
1.36,1.0000000000000000E+000
1.38,1.0000000000000000E+000
1.39,1.0000000000000000E+000
1.4,1.0000000000000000E+000
1.42,1.0000000000000000E+000
1.43,1.0000000000000000E+000
1.45,1.0000000000000000E+000
1.46,1.0000000000000000E+000
1.47,1.0000000000000000E+000
1.49,1.0000000000000000E+000
1.5,1.0000000000000000E+000
1.52,1.0000000000000000E+000
1.53,1.0000000000000000E+000
1.54,1.0000000000000000E+000
1.56,1.0000000000000000E+000
1.57,1.0000000000000000E+000
1.59,1.0000000000000000E+000
1.6,1.0000000000000000E+000
1.61,1.0000000000000000E+000
1.63,1.0000000000000000E+000
1.64,1.0000000000000000E+000
1.66,1.0000000000000000E+000
1.67,1.0000000000000000E+000
1.68,1.0000000000000000E+000
1.7,1.0000000000000000E+000
1.71,1.0000000000000000E+000
1.73,1.0000000000000000E+000
1.74,1.0000000000000000E+000
1.75,1.0000000000000000E+000
1.77,1.0000000000000000E+000
1.78,1.0000000000000000E+000
1.8,1.0000000000000000E+000
1.81,1.0000000000000000E+000
1.82,1.0000000000000000E+000
1.84,1.0000000000000000E+000
1.85,1.0000000000000000E+000
1.87,1.0000000000000000E+000
1.88,1.0000000000000000E+000
1.89,1.0000000000000000E+000
1.91,1.0000000000000000E+000
1.92,1.0000000000000000E+000
1.94,1.0000000000000000E+000
1.95,1.0000000000000000E+000
1.96,1.0000000000000000E+000
1.98,1.0000000000000000E+000
1.99,1.0000000000000000E+000
2.01,1.0000000000000000E+000
2.02,1.0000000000000000E+000
2.03,1.0000000000000000E+000
2.05,1.0000000000000000E+000
2.06,1.0000000000000000E+000
2.08,1.0000000000000000E+000
2.09,1.0000000000000000E+000
2.11,1.0000000000000000E+000
2.12,1.0000000000000000E+000
2.13,1.0000000000000000E+000
2.15,1.0000000000000000E+000
2.16,1.0000000000000000E+000
2.18,1.0000000000000000E+000
2.19,1.0000000000000000E+000
2.2,1.0000000000000000E+000
2.22,1.0000000000000000E+000
2.23,1.0000000000000000E+000
2.25,1.0000000000000000E+000
2.26,1.0000000000000000E+000
2.27,1.0000000000000000E+000
2.29,1.0000000000000000E+000
2.3,1.0000000000000000E+000
2.32,1.0000000000000000E+000
2.33,1.0000000000000000E+000
2.34,1.0000000000000000E+000
2.36,1.0000000000000000E+000
2.37,1.0000000000000000E+000
2.39,1.0000000000000000E+000
2.4,1.0000000000000000E+000
2.41,1.0000000000000000E+000
2.43,1.0000000000000000E+000
2.44,1.0000000000000000E+000
2.46,1.0000000000000000E+000
2.47,1.0000000000000000E+000
2.48,1.0000000000000000E+000
2.5,1.0000000000000000E+000
2.51,1.0000000000000000E+000
2.53,1.0000000000000000E+000
2.54,1.0000000000000000E+000
2.55,1.0000000000000000E+000
2.57,1.0000000000000000E+000
2.58,1.0000000000000000E+000
2.6,1.0000000000000000E+000
2.61,1.0000000000000000E+000
2.62,1.0000000000000000E+000
2.64,1.0000000000000000E+000
2.65,1.0000000000000000E+000
2.67,1.0000000000000000E+000
2.68,1.0000000000000000E+000
2.69,1.0000000000000000E+000
2.71,1.0000000000000000E+000
2.72,1.0000000000000000E+000
2.74,1.0000000000000000E+000
2.75,1.0000000000000000E+000
2.76,1.0000000000000000E+000
2.78,1.0000000000000000E+000
2.79,1.0000000000000000E+000
2.81,1.0000000000000000E+000
2.82,1.0000000000000000E+000
2.83,1.0000000000000000E+000
2.85,1.0000000000000000E+000
2.86,1.0000000000000000E+000
2.88,1.0000000000000000E+000
2.89,1.0000000000000000E+000
2.9,1.0000000000000000E+000
2.92,1.0000000000000000E+000
2.93,1.0000000000000000E+000
2.95,1.0000000000000000E+000
2.96,1.0000000000000000E+000
2.97,1.0000000000000000E+000
2.99,1.0000000000000000E+000
3,1.0000000000000000E+000
3.02,1.0000000000000000E+000
3.03,1.0000000000000000E+000
3.04,1.0000000000000000E+000
3.06,1.0000000000000000E+000
3.07,1.0000000000000000E+000
3.09,1.0000000000000000E+000
3.1,1.0000000000000000E+000
3.11,1.0000000000000000E+000
3.13,1.0000000000000000E+000
3.14,1.0000000000000000E+000
3.16,1.0000000000000000E+000
3.17,1.0000000000000000E+000
3.18,1.0000000000000000E+000
3.2,1.0000000000000000E+000
3.21,1.0000000000000000E+000
3.23,1.0000000000000000E+000
3.24,1.0000000000000000E+000
3.25,1.0000000000000000E+000
3.27,1.0000000000000000E+000
3.28,1.0000000000000000E+000
3.3,1.0000000000000000E+000
3.31,1.0000000000000000E+000
3.32,1.0000000000000000E+000
3.34,1.0000000000000000E+000
3.35,1.0000000000000000E+000
3.37,1.0000000000000000E+000
3.38,1.0000000000000000E+000
3.39,1.0000000000000000E+000
3.41,0.0000000000000000E+000
3.42,0.0000000000000000E+000
3.44,0.0000000000000000E+000
3.45,0.0000000000000000E+000
3.46,0.0000000000000000E+000
3.48,0.0000000000000000E+000
3.49,0.0000000000000000E+000
3.51,0.0000000000000000E+000
3.52,0.0000000000000000E+000
3.53,0.0000000000000000E+000
3.55,0.0000000000000000E+000
3.56,0.0000000000000000E+000
3.58,0.0000000000000000E+000
3.59,0.0000000000000000E+000
3.6,0.0000000000000000E+000
3.62,0.0000000000000000E+000
3.63,0.0000000000000000E+000
3.65,0.0000000000000000E+000
3.66,0.0000000000000000E+000
3.67,0.0000000000000000E+000
3.69,0.0000000000000000E+000
3.7,0.0000000000000000E+000
3.72,0.0000000000000000E+000
3.73,0.0000000000000000E+000
3.74,0.0000000000000000E+000
3.76,0.0000000000000000E+000
3.77,0.0000000000000000E+000
3.79,0.0000000000000000E+000
3.8,0.0000000000000000E+000
3.81,0.0000000000000000E+000
3.83,0.0000000000000000E+000
3.84,0.0000000000000000E+000
3.86,0.0000000000000000E+000
3.87,0.0000000000000000E+000
3.88,0.0000000000000000E+000
3.9,0.0000000000000000E+000
3.91,0.0000000000000000E+000
3.93,0.0000000000000000E+000
3.94,0.0000000000000000E+000
3.95,0.0000000000000000E+000
3.97,0.0000000000000000E+000
3.98,0.0000000000000000E+000
4,0.0000000000000000E+000
4.01,0.0000000000000000E+000
4.02,0.0000000000000000E+000
4.04,0.0000000000000000E+000
4.05,0.0000000000000000E+000
4.07,0.0000000000000000E+000
4.08,0.0000000000000000E+000
4.09,0.0000000000000000E+000
4.11,0.0000000000000000E+000
4.12,0.0000000000000000E+000
4.14,0.0000000000000000E+000
4.15,0.0000000000000000E+000
4.16,0.0000000000000000E+000
4.18,0.0000000000000000E+000
4.19,0.0000000000000000E+000
4.21,0.0000000000000000E+000
4.22,0.0000000000000000E+000
4.23,0.0000000000000000E+000
4.25,0.0000000000000000E+000
4.26,0.0000000000000000E+000
4.28,0.0000000000000000E+000
4.29,0.0000000000000000E+000
4.3,0.0000000000000000E+000
4.32,0.0000000000000000E+000
4.33,0.0000000000000000E+000
4.35,0.0000000000000000E+000
4.36,0.0000000000000000E+000
4.37,0.0000000000000000E+000
4.39,0.0000000000000000E+000
4.4,0.0000000000000000E+000
4.42,0.0000000000000000E+000
4.43,0.0000000000000000E+000
4.44,0.0000000000000000E+000
4.46,0.0000000000000000E+000
4.47,0.0000000000000000E+000
4.49,0.0000000000000000E+000
4.5,0.0000000000000000E+000
4.51,0.0000000000000000E+000
4.53,0.0000000000000000E+000
4.54,0.0000000000000000E+000
4.56,0.0000000000000000E+000
4.57,0.0000000000000000E+000
4.58,0.0000000000000000E+000
4.6,0.0000000000000000E+000
4.61,0.0000000000000000E+000
4.63,0.0000000000000000E+000
4.64,0.0000000000000000E+000
4.65,0.0000000000000000E+000
4.67,0.0000000000000000E+000
4.68,0.0000000000000000E+000
4.7,0.0000000000000000E+000
4.71,0.0000000000000000E+000
4.72,0.0000000000000000E+000
4.74,0.0000000000000000E+000
4.75,0.0000000000000000E+000
4.77,0.0000000000000000E+000
4.78,0.0000000000000000E+000
4.79,0.0000000000000000E+000
4.81,0.0000000000000000E+000
4.82,0.0000000000000000E+000
4.84,0.0000000000000000E+000
4.85,0.0000000000000000E+000
4.86,0.0000000000000000E+000
4.88,0.0000000000000000E+000
4.89,0.0000000000000000E+000
4.91,0.0000000000000000E+000
4.92,0.0000000000000000E+000
4.93,0.0000000000000000E+000
4.95,0.0000000000000000E+000
4.96,0.0000000000000000E+000
4.98,0.0000000000000000E+000
4.99,0.0000000000000000E+000
5,0.0000000000000000E+000
5.02,0.0000000000000000E+000
5.03,0.0000000000000000E+000
5.05,0.0000000000000000E+000
5.06,0.0000000000000000E+000
5.07,0.0000000000000000E+000
5.09,0.0000000000000000E+000
5.1,0.0000000000000000E+000
5.12,0.0000000000000000E+000
5.13,0.0000000000000000E+000
5.14,0.0000000000000000E+000
5.16,0.0000000000000000E+000
5.17,0.0000000000000000E+000
5.19,0.0000000000000000E+000
5.2,0.0000000000000000E+000
5.21,0.0000000000000000E+000
5.23,0.0000000000000000E+000
5.24,0.0000000000000000E+000
5.26,0.0000000000000000E+000
5.27,0.0000000000000000E+000
5.28,0.0000000000000000E+000
5.3,0.0000000000000000E+000
5.31,0.0000000000000000E+000
5.33,0.0000000000000000E+000
5.34,0.0000000000000000E+000
5.35,0.0000000000000000E+000
5.37,0.0000000000000000E+000
5.38,0.0000000000000000E+000
5.4,0.0000000000000000E+000
5.41,0.0000000000000000E+000
5.42,0.0000000000000000E+000
5.44,0.0000000000000000E+000
5.45,0.0000000000000000E+000
5.47,0.0000000000000000E+000
5.48,0.0000000000000000E+000
5.49,0.0000000000000000E+000
5.51,0.0000000000000000E+000
5.52,0.0000000000000000E+000
5.54,0.0000000000000000E+000
5.55,0.0000000000000000E+000
5.56,0.0000000000000000E+000
5.58,0.0000000000000000E+000
5.59,0.0000000000000000E+000
5.61,0.0000000000000000E+000
5.62,0.0000000000000000E+000
5.63,0.0000000000000000E+000
5.65,0.0000000000000000E+000
5.66,1.0000000000000000E+000
5.68,1.0000000000000000E+000
5.69,1.0000000000000000E+000
5.7,1.0000000000000000E+000
5.72,1.0000000000000000E+000
5.73,1.0000000000000000E+000
5.75,1.0000000000000000E+000
5.76,1.0000000000000000E+000
5.77,1.0000000000000000E+000
5.79,1.0000000000000000E+000
5.8,1.0000000000000000E+000
5.82,1.0000000000000000E+000
5.83,1.0000000000000000E+000
5.84,1.0000000000000000E+000
5.86,1.0000000000000000E+000
5.87,1.0000000000000000E+000
5.89,1.0000000000000000E+000
5.9,1.0000000000000000E+000
5.91,1.0000000000000000E+000
5.93,1.0000000000000000E+000
5.94,1.0000000000000000E+000
5.96,1.0000000000000000E+000
5.97,1.0000000000000000E+000
5.98,1.0000000000000000E+000
6,1.0000000000000000E+000
6.01,1.0000000000000000E+000
6.03,1.0000000000000000E+000
6.04,1.0000000000000000E+000
6.05,1.0000000000000000E+000
6.07,1.0000000000000000E+000
6.08,1.0000000000000000E+000
6.1,1.0000000000000000E+000
6.11,1.0000000000000000E+000
6.12,1.0000000000000000E+000
6.14,1.0000000000000000E+000
6.15,1.0000000000000000E+000
6.17,1.0000000000000000E+000
6.18,1.0000000000000000E+000
6.19,1.0000000000000000E+000
6.21,1.0000000000000000E+000
6.22,1.0000000000000000E+000
6.24,1.0000000000000000E+000
6.25,1.0000000000000000E+000
6.26,1.0000000000000000E+000
6.28,1.0000000000000000E+000
6.29,1.0000000000000000E+000
6.31,1.0000000000000000E+000
6.32,1.0000000000000000E+000
6.33,1.0000000000000000E+000
6.35,1.0000000000000000E+000
6.36,1.0000000000000000E+000
6.38,1.0000000000000000E+000
6.39,1.0000000000000000E+000
6.4,1.0000000000000000E+000
6.42,1.0000000000000000E+000
6.43,1.0000000000000000E+000
6.45,1.0000000000000000E+000
6.46,1.0000000000000000E+000
6.47,1.0000000000000000E+000
6.49,1.0000000000000000E+000
6.5,1.0000000000000000E+000
6.52,1.0000000000000000E+000
6.53,1.0000000000000000E+000
6.54,1.0000000000000000E+000
6.56,1.0000000000000000E+000
6.57,1.0000000000000000E+000
6.59,1.0000000000000000E+000
6.6,1.0000000000000000E+000
6.61,1.0000000000000000E+000
6.63,1.0000000000000000E+000
6.64,1.0000000000000000E+000
6.66,1.0000000000000000E+000
6.67,1.0000000000000000E+000
6.68,1.0000000000000000E+000
6.7,1.0000000000000000E+000
6.71,1.0000000000000000E+000
6.73,1.0000000000000000E+000
6.74,1.0000000000000000E+000
6.75,1.0000000000000000E+000
6.77,1.0000000000000000E+000
6.78,1.0000000000000000E+000
6.8,1.0000000000000000E+000
6.81,1.0000000000000000E+000
6.82,1.0000000000000000E+000
6.84,1.0000000000000000E+000
6.85,1.0000000000000000E+000
6.87,1.0000000000000000E+000
6.88,1.0000000000000000E+000
6.89,1.0000000000000000E+000
6.91,1.0000000000000000E+000
6.92,1.0000000000000000E+000
6.94,1.0000000000000000E+000
6.95,1.0000000000000000E+000
6.96,1.0000000000000000E+000
6.98,1.0000000000000000E+000
6.99,1.0000000000000000E+000
7,1.0000000000000000E+000
