"time","outputs[1]","outputs[2]"
0,2.5000000000000000E+01,2.0000000000000000E+01
0.02,2.5000000000000000E+01,2.0199735349703928E+01
0.04,2.5000000000000000E+01,2.0398915547261140E+01
0.06,2.5000000000000000E+01,2.0597542378260584E+01
0.08,2.5000000000000000E+01,2.0795617620745361E+01
0.1,2.5000000000000000E+01,2.0993143045259444E+01
0.12,2.5000000000000000E+01,2.1190120414893215E+01
0.14,2.5000000000000000E+01,2.1386551485329392E+01
0.16,2.5000000000000000E+01,2.1582438004887933E+01
0.18,2.5000000000000000E+01,2.1777781714570551E+01
0.2,2.5000000000000000E+01,2.1972584348105386E+01
0.22,2.5000000000000000E+01,2.2166847631990947E+01
0.24,2.5000000000000000E+01,2.2360573285539488E+01
0.26,2.5000000000000000E+01,2.2553763020920485E+01
0.28,2.5000000000000000E+01,2.2746418543203163E+01
0.3,2.5000000000000000E+01,2.2938541550399066E+01
0.32,2.5000000000000000E+01,2.3130133733504465E+01
0.34,2.5000000000000000E+01,2.3321196776541626E+01
0.36,2.5000000000000000E+01,2.3511732356600703E+01
0.38,2.5000000000000000E+01,2.3701742143880381E+01
0.4,2.5000000000000000E+01,2.3891227801728860E+01
0.42,2.5000000000000000E+01,2.4080190986683988E+01
0.44,2.5000000000000000E+01,2.4268633348513731E+01
0.46,2.5000000000000000E+01,2.4456556530255057E+01
0.48,2.5000000000000000E+01,2.4643962168254632E+01
0.5,2.5000000000000000E+01,2.4830851892206169E+01
0.52,2.5000000000000000E+01,2.5017227325190390E+01
0.54,2.5000000000000000E+01,2.5203090083713278E+01
0.56,2.5000000000000000E+01,2.5388441777743878E+01
0.58,2.5000000000000000E+01,2.5573284010751877E+01
0.6,2.5000000000000000E+01,2.5757618379745509E+01
0.62,2.5000000000000000E+01,2.5941446475308396E+01
0.64,2.5000000000000000E+01,2.5997864311963156E+01
0.66,2.5000000000000000E+01,2.5985879974491354E+01
0.68,2.5000000000000000E+01,2.5973919582937924E+01
0.7,2.5000000000000000E+01,2.5961983089456339E+01
0.72,2.5000000000000000E+01,2.5950070446295797E+01
0.74,2.5000000000000000E+01,2.5938181605801049E+01
0.76,2.5000000000000000E+01,2.5926316520412001E+01
0.78,2.5000000000000000E+01,2.5914475142663491E+01
0.8,2.5000000000000000E+01,2.5902657425185282E+01
0.82,2.5000000000000000E+01,2.5890863320701783E+01
0.84,2.5000000000000000E+01,2.5879092782031819E+01
0.86,2.5000000000000000E+01,2.5867345762088576E+01
0.88,2.5000000000000000E+01,2.5855622213879030E+01
0.9,2.5000000000000000E+01,2.5843922090504350E+01
0.92,2.5000000000000000E+01,2.5832245345159549E+01
0.94,2.5000000000000000E+01,2.5820591931132810E+01
0.96,2.5000000000000000E+01,2.5808961801805822E+01
0.98,2.5000000000000000E+01,2.5797354910653326E+01
1,2.5000000000000000E+01,2.5785771211243343E+01
1.021,2.5000000000000000E+01,2.5773633236272701E+01
1.041,2.5000000000000000E+01,2.5762096935167051E+01
1.061,2.5000000000000000E+01,2.5750583684757714E+01
1.081,2.5000000000000000E+01,2.5739093438987027E+01
1.101,2.5000000000000000E+01,2.5727626151889410E+01
1.121,2.5000000000000000E+01,2.5716181777591089E+01
1.141,2.5000000000000000E+01,2.5704760270310146E+01
1.161,2.5000000000000000E+01,2.5693361584355671E+01
1.181,2.5000000000000000E+01,2.5681985674128498E+01
1.201,2.5000000000000000E+01,2.5670632494120468E+01
1.221,2.5000000000000000E+01,2.5659301998914202E+01
1.241,2.5000000000000000E+01,2.5647994143183382E+01
1.261,2.5000000000000000E+01,2.5636708881691789E+01
1.281,2.5000000000000000E+01,2.5625446169293809E+01
1.301,2.5000000000000000E+01,2.5614205960934385E+01
1.321,2.5000000000000000E+01,2.5602988211648153E+01
1.341,2.5000000000000000E+01,2.5591792876559282E+01
1.361,2.5000000000000000E+01,2.5580619910882035E+01
1.381,2.5000000000000000E+01,2.5569469269920262E+01
1.401,2.5000000000000000E+01,2.5558340909066885E+01
1.421,2.5000000000000000E+01,2.5547234783803788E+01
1.441,2.5000000000000000E+01,2.5536150849702210E+01
1.461,2.5000000000000000E+01,2.5525089062421841E+01
1.481,2.5000000000000000E+01,2.5514049377711103E+01
1.501,2.5000000000000000E+01,2.5503031751406979E+01
1.521,2.5000000000000000E+01,2.5492036139434390E+01
1.541,2.5000000000000000E+01,2.5481062497806590E+01
1.561,2.5000000000000000E+01,2.5470110782624545E+01
1.581,2.5000000000000000E+01,2.5459180950077041E+01
1.601,2.5000000000000000E+01,2.5448272956440178E+01
1.621,2.5000000000000000E+01,2.5437386758077935E+01
1.641,2.5000000000000000E+01,2.5426522311440920E+01
1.661,2.5000000000000000E+01,2.5415679573067052E+01
1.681,2.5000000000000000E+01,2.5404858499581053E+01
1.701,2.5000000000000000E+01,2.5394059047694043E+01
1.721,2.5000000000000000E+01,2.5383281174204114E+01
1.741,2.5000000000000000E+01,2.5372524835995421E+01
1.761,2.5000000000000000E+01,2.5361789990038233E+01
1.781,2.5000000000000000E+01,2.5351076593388996E+01
1.801,2.5000000000000000E+01,2.5340384603189705E+01
1.821,2.5000000000000000E+01,2.5329713976668188E+01
1.841,2.5000000000000000E+01,2.5319064671137653E+01
1.861,2.5000000000000000E+01,2.5308436643996401E+01
1.881,2.5000000000000000E+01,2.5297829852728171E+01
1.901,2.5000000000000000E+01,2.5287244254901566E+01
1.921,2.5000000000000000E+01,2.5276679808170059E+01
1.941,2.5000000000000000E+01,2.5266136470271533E+01
1.961,2.5000000000000000E+01,2.5255614199028400E+01
1.981,2.5000000000000000E+01,2.5245112952347313E+01
2.001,2.5000000000000000E+01,2.5234632688219051E+01
2.021,2.5083333333332870E+01,2.5224173364718467E+01
2.041,2.5166666666666195E+01,2.5213734940003860E+01
2.061,2.5249999999999517E+01,2.5203317372317656E+01
2.081,2.5333333333332845E+01,2.5192920619985159E+01
2.101,2.5416666666666167E+01,2.5182544641415348E+01
2.121,2.5499999999999492E+01,2.5172189395100077E+01
2.141,2.5583333333332817E+01,2.5161854839613966E+01
2.161,2.5666666666666138E+01,2.5151540933614967E+01
2.181,2.5749999999999464E+01,2.5141247635843285E+01
2.201,2.5833333333332789E+01,2.5130974905121491E+01
2.221,2.5916666666666110E+01,2.5120722700354577E+01
2.241,2.5999999999999439E+01,2.5110490980529676E+01
2.261,2.6083333333332760E+01,2.5100279704715661E+01
2.281,2.6166666666666085E+01,2.5246792759615062E+01
2.301,2.6249999999999410E+01,2.5432024313862655E+01
2.321,2.6333333333332732E+01,2.5616746783818542E+01
2.341,2.6416666666666057E+01,2.5800961764974318E+01
2.361,2.6499999999999382E+01,2.5984670846406118E+01
2.381,2.6583333333332703E+01,2.6167875610810654E+01
2.401,2.6666666666666032E+01,2.6350577634542503E+01
2.421,2.6749999999999353E+01,2.6532778487649637E+01
2.441,2.6833333333332678E+01,2.6714479733909513E+01
2.461,2.6916666666666003E+01,2.6895682930864950E+01
2.481,2.6999999999999325E+01,2.7076389629859079E+01
2.501,2.7083333333332650E+01,2.7256601376070705E+01
2.521,2.7166666666665975E+01,2.7436319708548751E+01
2.541,2.7249999999999297E+01,2.7615546160247277E+01
2.561,2.7333333333332625E+01,2.7794282258058729E+01
2.581,2.7416666666665947E+01,2.7972529522848731E+01
2.601,2.7499999999999272E+01,2.8150289469489223E+01
2.621,2.7583333333332597E+01,2.8327563606892340E+01
2.641,2.7666666666665918E+01,2.8504353438043267E+01
2.661,2.7749999999999243E+01,2.8680660460032641E+01
2.681,2.7833333333332568E+01,2.8808169374596048E+01
2.701,2.7916666666665890E+01,2.8790569763398310E+01
2.721,2.7999999999999218E+01,2.8773005318003470E+01
2.741,2.8083333333332540E+01,2.8755475968146868E+01
2.761,2.8166666666665865E+01,2.8737981643704074E+01
2.781,2.8249999999999190E+01,2.8720522274690836E+01
2.801,2.8333333333332511E+01,2.8703097791262564E+01
2.821,2.8416666666665837E+01,2.8685708123714392E+01
2.841,2.8499999999999162E+01,2.8668353202480603E+01
2.861,2.8583333333332483E+01,2.8651032958134522E+01
2.881,2.8666666666665812E+01,2.8633747321388228E+01
2.901,2.8749999999999133E+01,2.8616496223092270E+01
2.921,2.8833333333332458E+01,2.8599279594235497E+01
2.941,2.8916666666665783E+01,2.8582097365944207E+01
2.961,2.8999999999999105E+01,2.8564949469482656E+01
2.981,2.9083333333332430E+01,2.8547835836252602E+01
3.001,2.9166666666665755E+01,2.8530756397792402E+01
3.021,2.9249999999999076E+01,2.8513711085777516E+01
3.041,2.9333333333332405E+01,2.8496699832019772E+01
3.061,2.9416666666665726E+01,2.8479722568467594E+01
3.081,2.9499999999999051E+01,2.8530501946152981E+01
3.101,2.9583333333332376E+01,2.8706737571867336E+01
3.121,2.9666666666665698E+01,2.8882492100063644E+01
3.141,2.9749999999999023E+01,2.9057767015281627E+01
3.161,2.9833333333332348E+01,2.9232563796268551E+01
3.181,2.9916666666665670E+01,2.9406883916011054E+01
3.201,2.9999999999998998E+01,2.9580728841767439E+01
3.221,3.0083333333332320E+01,2.9754100035098020E+01
3.241,3.0166666666665645E+01,2.9926998951896621E+01
3.261,3.0249999999998970E+01,3.0099427042421610E+01
3.281,3.0333333333332291E+01,3.0271385751326193E+01
3.301,3.0416666666665616E+01,3.0442876517688831E+01
3.321,3.0499999999998941E+01,3.0613900775043589E+01
3.341,3.0583333333332263E+01,3.0784459951409872E+01
3.361,3.0666666666665591E+01,3.0954555469321974E+01
3.381,3.0749999999998913E+01,3.1124188745858817E+01
3.401,3.0833333333332238E+01,3.1293361192673046E+01
3.421,3.0916666666665563E+01,3.1462074216020085E+01
3.441,3.0999999999998884E+01,3.1630329216786720E+01
3.461,3.1083333333332209E+01,3.1798127590520153E+01
3.481,3.1166666666665535E+01,3.1965470727455795E+01
3.501,3.1249999999998856E+01,3.2132360012545462E+01
3.521,3.1333333333332185E+01,3.2298796825485908E+01
3.541,3.1416666666665506E+01,3.2359942042480384E+01
3.561,3.1499999999998831E+01,3.2335245630295333E+01
3.581,3.1583333333332156E+01,3.2310598564039481E+01
3.601,3.1666666666665478E+01,3.2286000745114620E+01
3.621,3.1749999999998806E+01,3.2261452075119621E+01
3.641,3.1833333333332128E+01,3.2236952455849860E+01
3.661,3.1916666666665453E+01,3.2212501789297050E+01
3.681,3.1999999999998778E+01,3.2188099977648847E+01
3.701,3.2083333333332099E+01,3.2163746923288045E+01
3.721,3.2166666666665421E+01,3.2139442528792813E+01
3.741,3.2249999999998749E+01,3.2115186696935609E+01
3.761,3.2333333333332071E+01,3.2090979330683581E+01
3.781,3.2416666666665400E+01,3.2066820333197427E+01
3.801,3.2499999999998721E+01,3.2042709607831455E+01
3.821,3.2583333333332050E+01,3.2018647058133126E+01
3.841,3.2666666666665371E+01,3.1994632587842659E+01
3.861,3.2749999999998693E+01,3.1970666100892231E+01
3.881,3.2833333333332021E+01,3.1946747501406662E+01
3.901,3.2916666666665343E+01,3.1922876693701767E+01
3.921,3.2999999999998664E+01,3.2070822769504503E+01
3.941,3.3083333333331993E+01,3.2237426405648705E+01
3.961,3.3166666666665314E+01,3.2403578437475858E+01
3.981,3.3249999999998636E+01,3.2569280236170243E+01
4.001,3.3333333333331964E+01,3.2734533167733673E+01
4.021,3.3416666666665321E+01,3.2899338593011635E+01
4.041,3.3499999999998685E+01,3.3063697867720919E+01
4.061,3.3583333333332050E+01,3.3227612342476959E+01
4.081,3.3666666666665407E+01,3.3391083362818904E+01
4.101,3.3749999999998764E+01,3.3554112269237237E+01
4.121,3.3833333333332135E+01,3.3716700397199816E+01
4.141,3.3916666666665492E+01,3.3878849077176994E+01
4.161,3.3999999999998849E+01,3.4040559634669137E+01
4.181,3.4083333333332213E+01,3.4201833390230320E+01
4.201,3.4166666666665577E+01,3.4362671659495049E+01
4.221,3.4249999999998934E+01,3.4523075753203386E+01
4.241,3.4333333333332298E+01,3.4683046977225274E+01
4.261,3.4416666666665662E+01,3.4842586632586347E+01
4.281,3.4499999999999019E+01,3.5001696015491973E+01
4.301,3.4583333333332376E+01,3.5160376417352381E+01
4.321,3.4666666666665741E+01,3.5318629124806705E+01
4.341,3.4749999999999105E+01,3.5476455419746856E+01
4.361,3.4833333333332462E+01,3.5633856579342137E+01
4.381,3.4916666666665826E+01,3.5790833876062493E+01
4.401,3.4999999999999190E+01,3.5947388577702952E+01
4.421,3.5083333333332547E+01,3.6056497378751374E+01
4.441,3.5166666666665904E+01,3.6024414875165519E+01
4.461,3.5249999999999268E+01,3.5992396475666396E+01
4.481,3.5333333333332632E+01,3.5960442052167537E+01
4.501,3.5416666666665989E+01,3.5928551476838493E+01
4.521,3.5499999999999353E+01,3.5896724622104159E+01
4.541,3.5583333333332718E+01,3.5864961360644145E+01
4.561,3.5666666666666075E+01,3.5833261565392945E+01
4.581,3.5749999999999432E+01,3.5801625109538520E+01
4.601,3.5833333333332803E+01,3.5770051866522238E+01
4.621,3.5916666666666160E+01,3.5738541710038703E+01
4.641,3.5999999999999517E+01,3.5707094514034452E+01
4.661,3.6083333333332881E+01,3.5675710152708007E+01
4.681,3.6166666666666245E+01,3.5644388500509649E+01
4.701,3.6249999999999602E+01,3.5613129432139885E+01
4.721,3.6333333333332966E+01,3.5581932822549845E+01
4.741,3.6416666666666330E+01,3.5550798546940939E+01
4.761,3.6499999999999687E+01,3.5519726480763268E+01
4.781,3.6583333333333044E+01,3.5639394518574363E+01
4.801,3.6666666666666409E+01,3.5796356904585650E+01
4.821,3.6749999999999773E+01,3.5952896740099959E+01
4.841,3.6833333333333130E+01,3.6109015288096714E+01
4.861,3.6916666666666494E+01,3.6264713806927887E+01
4.881,3.6999999999999858E+01,3.6419993550340848E+01
4.901,3.7083333333333215E+01,3.6574855767501390E+01
4.921,3.7166666666666572E+01,3.6729301703016517E+01
