"time","out"
0,0.0000000000000000E+00
0.006,1.1999999999999970E-07
0.012,9.9999533281666421E-03
0.018,9.9999533281666421E-03
0.024,1.9998786669333735E-02
0.03,1.9998786669333735E-02
0.036,2.9995620148499498E-02
0.042,3.9989454090646671E-02
0.048,3.9989454090646671E-02
0.054,4.9979289120709217E-02
0.06,4.9979289120709217E-02
0.066,5.9964126263508957E-02
0.072,6.9942967043652285E-02
0.078,6.9942967043652285E-02
0.084,7.9914813585376859E-02
0.09,7.9914813585376859E-02
0.096,8.9878668712338364E-02
0.102,9.9833536047327268E-02
0.108,9.9833536047327268E-02
0.114,1.0977842011190578E-01
0.12,1.0977842011190578E-01
0.126,1.1971232642595481E-01
0.132,1.2963426160712116E-01
0.138,1.2963426160712116E-01
0.144,1.3954323347015501E-01
0.15,1.3954323347015501E-01
0.156,1.4943825112612749E-01
0.162,1.5931832508151883E-01
0.168,1.5931832508151883E-01
0.174,1.6918246733716683E-01
0.18,1.6918246733716683E-01
0.186,1.7902969148706604E-01
0.192,1.8885901281700743E-01
0.198,1.8885901281700743E-01
0.204,1.9866944840304912E-01
0.21,1.9866944840304912E-01
0.216,2.0846001720980784E-01
0.222,2.1822974018856167E-01
0.228,2.1822974018856167E-01
0.234,2.2797764037515417E-01
0.24,2.2797764037515417E-01
0.246,2.3770274298768987E-01
0.252,2.4740407552401175E-01
0.258,2.4740407552401175E-01
0.264,2.5708066785895062E-01
0.27,2.5708066785895062E-01
0.276,2.6673155234133678E-01
0.282,2.7635576389076438E-01
0.288,2.7635576389076438E-01
0.294,2.8595234009409853E-01
0.3,2.8595234009409853E-01
0.306,2.9552032130171613E-01
0.312,3.0505875072346966E-01
0.318,3.0505875072346966E-01
0.324,3.1456667452436565E-01
0.33,3.1456667452436565E-01
0.336,3.2404314191994726E-01
0.342,3.3348720527137188E-01
0.348,3.3348720527137188E-01
0.354,3.4289792018017445E-01
0.36,3.4289792018017445E-01
0.366,3.5227434558270626E-01
0.372,3.6161554384424083E-01
0.378,3.6161554384424083E-01
0.384,3.7092058085273627E-01
0.39,3.7092058085273627E-01
0.396,3.8018852611224591E-01
0.402,3.8941845283596699E-01
0.408,3.8941845283596699E-01
0.414,3.9860943803891880E-01
0.42,3.9860943803891880E-01
0.426,4.0776056263024008E-01
0.432,4.1687091150509770E-01
0.438,4.1687091150509770E-01
0.444,4.2593957363619611E-01
0.45,4.2593957363619611E-01
0.456,4.3496564216487937E-01
0.462,4.4394821449181626E-01
0.468,4.4394821449181626E-01
0.474,4.5288639236725964E-01
0.48,4.5288639236725964E-01
0.486,4.6177928198087026E-01
0.492,4.7062599405109767E-01
0.498,4.7062599405109767E-01
0.504,4.7942564391410702E-01
0.51,4.7942564391410702E-01
0.516,4.8817735161224485E-01
0.522,4.9688024198203468E-01
0.528,4.9688024198203468E-01
0.534,5.0553344474169171E-01
0.54,5.0553344474169171E-01
0.546,5.1413609457815113E-01
0.552,5.2268733123359801E-01
0.558,5.2268733123359801E-01
0.564,5.3118629959149288E-01
0.57,5.3118629959149288E-01
0.576,5.3963214976208240E-01
0.582,5.4802403716738757E-01
0.588,5.4802403716738757E-01
0.594,5.5636112262566129E-01
0.6,5.5636112262566129E-01
0.606,5.6464257243530513E-01
0.612,5.7286755845823933E-01
0.618,5.7286755845823933E-01
0.624,5.8103525820271573E-01
0.63,5.8103525820271573E-01
0.636,5.8914485490556634E-01
0.642,5.9719553761387867E-01
0.648,5.9719553761387867E-01
0.654,6.0518650126609097E-01
0.66,6.0518650126609097E-01
0.666,6.1311694677249717E-01
0.672,6.2098608109515507E-01
0.678,6.2098608109515507E-01
0.684,6.2879311732719023E-01
0.69,6.2879311732719023E-01
0.696,6.3653727477148514E-01
0.702,6.4421777901874888E-01
0.708,6.4421777901874888E-01
0.714,6.5183386202495708E-01
0.72,6.5183386202495708E-01
0.726,6.5938476218815589E-01
0.732,6.6686972442462134E-01
0.738,6.6686972442462134E-01
0.744,6.7428800024436730E-01
0.75,6.7428800024436730E-01
0.756,6.8163884782599360E-01
0.762,6.8892153209086759E-01
0.768,6.8892153209086759E-01
0.774,6.9613532477663209E-01
0.78,6.9613532477663209E-01
0.786,7.0327950451002963E-01
0.792,7.1035335687904055E-01
0.798,7.1035335687904055E-01
0.804,7.1735617450432265E-01
0.81,7.1735617450432265E-01
0.816,7.2428725710994923E-01
0.822,7.3114591159343556E-01
0.828,7.3114591159343556E-01
0.834,7.3793145209504862E-01
0.84,7.3793145209504862E-01
0.846,7.4464320006639306E-01
0.852,7.5128048433826478E-01
0.858,7.5128048433826478E-01
0.864,7.5784264118776767E-01
0.87,7.5784264118776767E-01
0.876,7.6432901440468526E-01
0.882,7.7073895535710113E-01
0.888,7.7073895535710113E-01
0.894,7.7707182305626143E-01
0.9,7.7707182305626143E-01
0.906,7.8332698422067393E-01
0.912,7.8950381333943465E-01
0.918,7.8950381333943465E-01
0.924,7.9560169273477910E-01
0.93,7.9560169273477910E-01
0.936,8.0162001262384930E-01
0.942,8.0755817117967155E-01
0.948,8.0755817117967155E-01
0.954,8.1341557459133862E-01
0.96,8.1341557459133862E-01
0.966,8.1919163712339071E-01
0.972,8.2488578117438782E-01
0.978,8.2488578117438782E-01
0.984,8.3049743733467007E-01
0.99,8.3049743733467007E-01
0.996,8.3602604444329776E-01
1.002,8.4147104964416708E-01
1.009,8.4147104964416708E-01
1.015,8.4683190844129563E-01
1.021,8.5210808475327093E-01
1.027,8.5210808475327093E-01
1.033,8.5729905096685854E-01
1.039,8.5729905096685854E-01
1.045,8.6240428798976299E-01
1.051,8.6742328530253643E-01
1.057,8.6742328530253643E-01
1.063,8.7235554100962975E-01
1.069,8.7235554100962975E-01
1.075,8.7720056188958273E-01
1.081,8.8195786344434479E-01
1.087,8.8195786344434479E-01
1.093,8.8662696994772483E-01
1.099,8.8662696994772483E-01
1.105,8.9120741449296348E-01
1.111,8.9569873903942321E-01
1.117,8.9569873903942321E-01
1.123,9.0010049445839213E-01
1.129,9.0010049445839213E-01
1.135,9.0441224057799641E-01
1.141,9.0863354622721726E-01
1.147,9.0863354622721726E-01
1.153,9.1276398927900748E-01
1.159,9.1276398927900748E-01
1.165,9.1680315669250390E-01
1.171,9.2075064455433120E-01
1.177,9.2075064455433120E-01
1.183,9.2460605811899266E-01
1.189,9.2460605811899266E-01
1.195,9.2836901184834475E-01
1.201,9.3203912945015011E-01
1.207,9.3203912945015011E-01
1.213,9.3561604391570730E-01
1.219,9.3561604391570730E-01
1.225,9.3909939755655036E-01
1.231,9.4248884204021799E-01
1.237,9.4248884204021799E-01
1.243,9.4578403842508629E-01
1.249,9.4578403842508629E-01
1.255,9.4898465719426284E-01
1.261,9.5209037828853793E-01
1.267,9.5209037828853793E-01
1.273,9.5510089113839014E-01
1.279,9.5510089113839014E-01
1.285,9.5801589469504322E-01
1.291,9.6083509746057072E-01
1.297,9.6083509746057072E-01
1.303,9.6355821751704540E-01
1.309,9.6355821751704540E-01
1.315,9.6618498255473095E-01
1.321,9.6871512989931252E-01
1.327,9.6871512989931252E-01
1.333,9.7114840653816403E-01
1.339,9.7114840653816403E-01
1.345,9.7348456914564929E-01
1.351,9.7572338410745452E-01
1.357,9.7572338410745452E-01
1.363,9.7786462754394909E-01
1.369,9.7786462754394909E-01
1.375,9.7990808533257368E-01
1.381,9.8185355312925238E-01
1.387,9.8185355312925238E-01
1.393,9.8370083638882677E-01
1.399,9.8370083638882677E-01
1.405,9.8544975038451021E-01
1.411,9.8710012022636062E-01
1.417,9.8710012022636062E-01
1.423,9.8865178087876904E-01
1.429,9.8865178087876904E-01
1.435,9.9010457717696343E-01
1.441,9.9145836384252439E-01
1.447,9.9145836384252439E-01
1.453,9.9271300549791364E-01
1.459,9.9271300549791364E-01
1.465,9.9386837668001127E-01
1.471,9.9492436185266175E-01
1.477,9.9492436185266175E-01
1.483,9.9588085541822780E-01
1.489,9.9588085541822780E-01
1.495,9.9673776172814998E-01
1.501,9.9749499509251149E-01
1.507,9.9749499509251149E-01
1.513,9.9815247978860666E-01
1.519,9.9815247978860666E-01
1.525,9.9871015006851405E-01
1.531,9.9916795016567017E-01
1.537,9.9916795016567017E-01
1.543,9.9952583430044695E-01
1.549,9.9952583430044695E-01
1.555,9.9978376668472912E-01
1.561,9.9994172152549310E-01
1.567,9.9994172152549310E-01
1.573,9.9999968302738662E-01
1.579,9.9999968302738662E-01
1.585,9.9995764539430765E-01
1.591,9.9981561282998455E-01
1.597,9.9981561282998455E-01
1.603,9.9957359953755531E-01
1.609,9.9957359953755531E-01
1.615,9.9923162971814750E-01
1.621,9.9878973756845824E-01
1.627,9.9878973756845824E-01
1.633,9.9824796727733400E-01
1.639,9.9824796727733400E-01
1.645,9.9760637302135269E-01
1.651,9.9686501895940505E-01
1.657,9.9686501895940505E-01
1.663,9.9602397922627950E-01
1.669,9.9602397922627950E-01
1.675,9.9508333792524861E-01
1.681,9.9404318911965850E-01
1.687,9.9404318911965850E-01
1.693,9.9290363682352301E-01
1.699,9.9290363682352301E-01
1.705,9.9166479499112214E-01
1.711,9.9032678750560676E-01
1.717,9.9032678750560676E-01
1.723,9.8888974816661035E-01
1.729,9.8888974816661035E-01
1.735,9.8735382067686928E-01
1.741,9.8571915862785264E-01
1.747,9.8571915862785264E-01
1.753,9.8398592548440311E-01
1.759,9.8398592548440311E-01
1.765,9.8215429456839076E-01
1.771,9.8022444904138062E-01
1.777,9.8022444904138062E-01
1.783,9.7819658188631742E-01
1.789,9.7819658188631742E-01
1.795,9.7607089588822671E-01
1.801,9.7384760361393685E-01
1.807,9.7384760361393685E-01
1.813,9.7152692739082247E-01
1.819,9.7152692739082247E-01
1.825,9.6910909928457223E-01
1.831,9.6659436107598162E-01
1.837,9.6659436107598162E-01
1.843,9.6398296423677610E-01
1.849,9.6398296423677610E-01
1.855,9.6127516990446338E-01
1.861,9.5847124885622015E-01
1.867,9.5847124885622015E-01
1.873,9.5557148148181470E-01
1.879,9.5557148148181470E-01
1.885,9.5257615775556792E-01
1.891,9.4948557720735649E-01
1.897,9.4948557720735649E-01
1.903,9.4630004889265962E-01
1.909,9.4630004889265962E-01
1.915,9.4301989136165421E-01
1.921,9.3964543262736000E-01
1.927,9.3964543262736000E-01
1.933,9.3617701013283827E-01
1.939,9.3617701013283827E-01
1.945,9.3261497071744814E-01
1.951,9.2895967058216289E-01
1.957,9.2895967058216289E-01
1.963,9.2521147525394987E-01
1.969,9.2521147525394987E-01
1.975,9.2137075954921843E-01
1.981,9.1743790753633836E-01
1.987,9.1743790753633836E-01
1.993,9.1341331249723390E-01
1.999,9.1341331249723390E-01
2.005,9.0929737688805468E-01
2.011,9.0509051229893223E-01
2.017,9.0509051229893223E-01
2.023,9.0079313941281924E-01
2.029,9.0079313941281924E-01
2.035,8.9640568796342357E-01
2.041,8.9192859669223368E-01
2.047,8.9192859669223368E-01
2.053,8.8736231330464610E-01
2.059,8.8736231330464610E-01
2.065,8.8270729442519391E-01
2.071,8.7796400555188647E-01
2.077,8.7796400555188647E-01
2.083,8.7313292100965800E-01
2.089,8.7313292100965800E-01
2.095,8.6821452390293674E-01
2.101,8.6320930606733515E-01
2.107,8.6320930606733515E-01
2.113,8.5811776802046513E-01
2.119,8.5811776802046513E-01
2.125,8.5294041891188921E-01
2.131,8.4767777647220310E-01
2.137,8.4767777647220310E-01
2.143,8.4233036696126584E-01
2.149,8.4233036696126584E-01
2.155,8.3689872511557184E-01
2.161,8.3138339409477979E-01
2.167,8.3138339409477979E-01
2.173,8.2578492542739512E-01
2.179,8.2578492542739512E-01
2.185,8.2010387895561987E-01
2.191,8.1434082277936637E-01
2.197,8.1434082277936637E-01
2.203,8.0849633319945036E-01
2.209,8.0849633319945036E-01
2.215,8.0257099465995885E-01
2.221,7.9656539968980844E-01
2.227,7.9656539968980844E-01
2.233,7.9048014884349116E-01
2.239,7.9048014884349116E-01
2.245,7.8431585064102094E-01
2.251,7.7807312150708086E-01
2.257,7.7807312150708086E-01
2.263,7.7175258570938232E-01
2.269,7.7175258570938232E-01
2.275,7.6535487529623769E-01
2.281,7.5888063003335726E-01
2.287,7.5888063003335726E-01
2.293,7.5233049733987156E-01
2.299,7.5233049733987156E-01
2.305,7.4570513222359225E-01
2.311,7.3900519721550917E-01
2.317,7.3900519721550917E-01
2.323,7.3223136230354036E-01
2.329,7.3223136230354036E-01
2.335,7.2538430486553207E-01
2.341,7.1846470960152176E-01
2.347,7.1846470960152176E-01
2.353,7.1147326846527026E-01
2.359,7.1147326846527026E-01
2.365,7.0441068059506429E-01
2.371,6.9727765224380600E-01
2.377,6.9727765224380600E-01
2.383,6.9007489670838584E-01
2.389,6.9007489670838584E-01
2.395,6.8280313425835581E-01
2.401,6.7546309206390009E-01
2.407,6.7546309206390009E-01
2.413,6.6805550412312253E-01
2.419,6.6805550412312253E-01
2.425,6.6058111118864327E-01
2.431,6.5304066069352795E-01
2.437,6.5304066069352795E-01
2.443,6.4543490667654169E-01
2.449,6.4543490667654169E-01
2.455,6.3776460970674875E-01
2.461,6.3003053680745358E-01
2.467,6.3003053680745358E-01
2.473,6.2223346137950153E-01
2.479,6.2223346137950153E-01
2.485,6.1437416312393756E-01
2.491,6.0645342796403812E-01
2.497,6.0645342796403812E-01
2.503,5.9847204796671816E-01
2.509,5.9847204796671816E-01
2.515,5.9043082126332691E-01
2.521,5.8233055196983308E-01
2.527,5.8233055196983308E-01
2.533,5.7417205010641648E-01
2.539,5.7417205010641648E-01
2.545,5.6595613151646396E-01
2.551,5.5768361778498865E-01
2.557,5.5768361778498865E-01
2.563,5.4935533615646925E-01
2.569,5.4935533615646925E-01
2.575,5.4097211945212931E-01
2.581,5.3253480598665259E-01
2.587,5.3253480598665259E-01
2.593,5.2404423948435441E-01
2.599,5.2404423948435441E-01
2.605,5.1550126899481030E-01
2.611,5.0690674880794928E-01
2.617,5.0690674880794928E-01
2.623,4.9826153836862863E-01
2.629,4.9826153836862863E-01
2.635,4.8956650219068742E-01
2.641,4.8082250977049817E-01
2.647,4.8082250977049817E-01
2.653,4.7203043550001561E-01
2.659,4.7203043550001561E-01
2.665,4.6319115857934079E-01
2.671,4.5430556292879903E-01
2.677,4.5430556292879903E-01
2.683,4.4537453710055147E-01
2.689,4.4537453710055147E-01
2.695,4.3639897418973767E-01
2.701,4.2737977174516989E-01
2.707,4.2737977174516989E-01
2.713,4.1831783167957587E-01
2.719,4.1831783167957587E-01
2.725,4.0921406017941125E-01
2.731,4.0006936761423889E-01
2.737,4.0006936761423889E-01
2.743,3.9088466844569558E-01
2.749,3.9088466844569558E-01
2.755,3.8166088113604335E-01
2.761,3.7239892805632768E-01
2.767,3.7239892805632768E-01
2.773,3.6309973539413731E-01
2.779,3.6309973539413731E-01
2.785,3.5376423306099009E-01
2.791,3.4439335459933884E-01
2.797,3.4439335459933884E-01
2.803,3.3498803708922165E-01
2.809,3.3498803708922165E-01
2.815,3.2554922105455086E-01
2.821,3.1607785036906511E-01
2.827,3.1607785036906511E-01
2.833,3.0657487216193985E-01
2.839,3.0657487216193985E-01
2.845,2.9704123672307614E-01
2.851,2.8747789740807411E-01
2.857,2.8747789740807411E-01
2.863,2.7788581054289491E-01
2.869,2.7788581054289491E-01
2.875,2.6826593532823262E-01
2.881,2.5861923374359130E-01
2.887,2.5861923374359130E-01
2.893,2.4894667045109134E-01
2.899,2.4894667045109134E-01
2.905,2.3924921269900071E-01
2.911,2.2952783022501430E-01
2.917,2.2952783022501430E-01
2.923,2.1978349515927750E-01
2.929,2.1978349515927750E-01
2.935,2.1001718192717750E-01
2.941,2.0022986715189811E-01
2.947,2.0022986715189811E-01
2.953,1.9042252955676159E-01
2.959,1.9042252955676159E-01
2.965,1.8059614986735389E-01
2.971,1.7075171071345621E-01
2.977,1.7075171071345621E-01
2.983,1.6089019653077932E-01
2.989,1.6089019653077932E-01
2.995,1.5101259346252455E-01
3,1.5101259346252455E-01
